BRC code,Taxon name,Fam,FamA,OrdA,NS,CS,RS,Chg,Hght,Len,P1,P2,LF1,LF2,W,Clone1,Clone2,E1,E2,C,NBI,NEur,SBI,SEur,Origin,GB,IR,CI,Tjan,Tjul,Prec,Co,Br Habitats,L,F,R,N,S,Source for max height,Comment on life form,Comment on clonality,Comment on N and S limits in Europe
0920  2527,Acaena novae-zelandiae,Rosa,Rosa,Rosa,AN,,,,11,,p,,Ch,,w,Node2,,,,,,,,,"Aus, NZ",82,9,0,3.8,15.2,831,,"3, 10, 18, 19",8,3,6,3,0,average of Butcher (1961) and CTW (1962),,,
0920     3,Acer campestre,Acer,Sapi,Sapi,N,,n,0.35,1500,,p,,Ph,,w,0,,7,3,,1,55-60,0,<45,,1389,0,0,3.6,15.7,839,,"1, 3",5,5,7,6,0,CTW (1962),,,
0920     4,Acer platanoides,Acer,Sapi,Sapi,AN,,,,3000,,p,,Ph,,w,0,,7,3,c,,,,,Eur,1419,43,5,3.4,15.2,903,,"1, 3, 17",4,5,7,7,0,Stace (1991),,,
0920     5,Acer pseudoplatanus,Acer,Sapi,Sapi,AN,,,-0.40,3000,,p,,Ph,,w,0,,7,3,c,,,,,Eur,2599,942,13,3.6,14.6,1083,,"1, 3, 17",4,5,6,6,0,"Bean (1950-1) - ""at its best over 100 ft""",,,
0920     6,Aceras anthropophorum,Orch,Orch,Aspa,N,,s,-0.76,40,,p,,Gn,,h,0,,9,1,,1,50-55,0,<45,,109,0,0,3.6,16.3,690,,7,7,4,8,3,0,Stace (1997),,,
0920     7,Achillea millefolium,Aste,Aste,Aste,N,,n,0.29,45,,p,,Ch,,h,Rhiz2,,5,5,,0,>65,0,<45,,2774,968,14,3.5,14.5,1103,,"5, 6",7,5,6,4,1,CTW (1962),"The height refers to the flowering stem, not the low rosettes that overwinter",,
0920     9,Achillea ptarmica,Aste,Aste,Aste,N,,n,-0.65,60,,p,,hc,,h,Rhiz1,,5,5,,0,>65,0,<45,,2382,492,0,3.3,14.3,1146,,11,7,7,5,3,0,Stace (1997),,may be widely spreading;  it is regarded as inconveniently invasive by gardeners,
0920    14,Aconitum napellus,Ranu,Ranu,Ranu,NA,,s,,100,,p,,Gn,,h,Rhiz1,,7,3,,1,50-55,0,<45,,104,0,0,4.0,15.8,964,,"1, 3, 14, 17",5,7,7,6,0,CTW (1962),,,
0920  3305,Aconitum napellus sens. lat.,Ranu,Ranu,Ranu,NA,,s,1.42,100,,p,,Gn,,h,Rhiz1,,7,3,,,,,,,104,0,0,4.0,15.8,964,,"1, 3, 14, 17",5,7,7,6,0,as A. napellus sens. str.,,,
0920    15,Acorus calamus,Arac,Acor,Acor,AN,,,0.69,112,,p,,Hy,,h,Rhiz2,,,,,,,,,Unk,515,17,4,3.6,15.8,770,,"13, 14",8,10,7,7,0,average of CTW (1962) and Stace (1997),,,
0920    16,Actaea spicata,Ranu,Ranu,Ranu,N,,s,-0.44,60,,p,,Gn,,h,Rhiz1,,4,6,,0,>65,0,<45,,33,0,0,2.5,14.3,1054,,16,3,5,8,6,0,Stace (1997),,,
0910    17,Adiantum capillus-veneris,Adia,Adia,Poly,N,,s,0.54,30,,p,,hc,,h,0,,9,1,,1,50-55,0,<45,,38,29,4,5.2,15.2,1101,,16,4,7,8,3,0,Hutchinson & Thomas (1996),,,
0920    18,Adonis annua,Ranu,Ranu,Ranu,AR,VU,,-2.19,40,,a,,Th,,h,0,,9,1,,,,,,,234,3,2,3.8,16.0,745,,4,7,4,7,4,0,CTW (1962),,,
0920    19,Adoxa moschatellina,Adox,Adox,Dips,N,,n,-0.05,12,,p,,Gn,,h,Rhiz1,,5,6,,0,>65,0,<45,,1720,2,0,3.3,14.9,1005,,1,4,5,6,5,0,average of CTW (1962) and Stace (1997),,,
0920    20,Aegopodium podagraria,Apia,Apia,Apia,AR,,,-0.45,100,,p,,hc,,h,Rhiz2,,7,4,,,,,,"Eur, As1",2533,819,12,3.6,14.6,1064,,"3, 17",6,5,6,7,0,Stace (1997),,,
0920  2241,Aesculus hippocastanum,Hipp,Sapi,Sapi,AN,,,1.08,3200,,p,,Ph,,w,0,,,,,,,,,Eur,2186,557,12,3.6,14.8,1014,,"3, 17",5,5,7,7,0,average of CTW & Stace,,,
0920    21,Aethusa cynapium,Apia,Apia,Apia,NA,,n,-0.41,100,,a,,Th,,h,0,,7,3,,0,60-65,0,<45,,1640,0,9,3.6,15.5,863,,"3, 4, 17",6,4,7,6,0,Stace (1997),,,
0920    22,Agrimonia eupatoria,Rosa,Rosa,Rosa,N,,n,-0.89,60,,p,,hc,,h,0,,8,4,,0,60-65,0,<45,,1859,532,9,3.8,15.1,953,,6,7,4,7,4,0,CTW (1962),,,
0920    23,Agrimonia procera,Rosa,Rosa,Rosa,N,,n,-0.38,100,,p,,hc,,h,0,,7,3,,0,60-65,0,<45,,819,161,6,3.9,15.1,1026,,"1, 3, 6",5,6,7,5,0,CTW (1962),,,
0920    34,Agrostemma githago,Cary,Cary,Cary,AR,EW,,-0.75,100,,a,,Th,,h,0,,,,,,,,,Unk,815,96,5,3.9,15.6,852,,4,7,5,6,5,0,Stace (1991),,,
0920    35.2,Agrostis canina,Poac,Poac,Poal,N,,n,,60,,p,,hc,,h,Stol2,,5,6,,0,>65,0,<45,,1609,361,2,3.5,14.5,1128,,"11, 13",7,7,3,3,0,"75% of Stace (1997), reduced because decumbent",,best treated as stoloniferous; produces new axes at most nodes,
0920    35,Agrostis canina sens.lat.,Poac,Poac,Poal,N,,n,1.32,60,,p,,hc,,h,Rhiz2,Stol2,5,6,,,,,,,1937,443,2,3.4,14.3,1145,,"8, 11",7,6,3,3,0,average of A. canina and A. vinealis,,,
0920    40,Agrostis capillaris,Poac,Poac,Poal,N,,n,1.28,62,,p,,hc,,h,Rhiz2,,5,4,,0,>65,0,<45,,2758,922,13,3.5,14.5,1104,,8,6,5,4,4,0,average of CTW (1962) & Stace (1997),,,
0920    38,Agrostis curtisii,Poac,Poac,Poal,N,,n,-0.26,60,,p,,hc,,h,0gr,,8,1,,1,50-55,0,<45,,207,0,0,4.9,15.8,1082,,"8, 10",7,6,2,1,0,Stace (1997),,,
0920    36,Agrostis gigantea,Poac,Poac,Poal,AR,,,1.39,80,,p,,hc,,h,Rhiz2,,8,5,,,,,,,1613,109,4,3.6,15.3,889,,"3, 4",7,6,6,7,0,CTW (1962),,,
0920    39,Agrostis stolonifera,Poac,Poac,Poal,N,,n,3.66,45,,p,,hc,,h,Stol2,,6,6,,0,>65,0,<45,,2776,977,14,3.6,14.5,1101,,"4, 5, 6",7,6,7,6,1,estimated canopy height (MOH),,,
0920    35.1,Agrostis vinealis,Poac,Poac,Poal,N,,n,,60,,p,,hc,,h,Rhiz2,,7,3,,0,>65,0,<45,,1126,150,0,3.3,14.0,1200,,"8, 10",7,6,3,2,0,Stace (1997),,,
